Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
1681	1	6	1	6	4	75
1682	1	15	2	19	3	88
1683	1	6	5	36	2	50
1684	0	11	2	20	3	82
1685	0	10	2	25	3	92
1686	1	11	3	28	3	68
1687	1	11	6	53	2	57
1688	0	8	1	4	3	110
1689	1	11	6	44	2	48
1690	1	11	5	38	2	50
1691	0	25	2	22	3	100
1692	0	11	1	2	4	102
1693	1	16	1	6	4	150
1694	0	13	1	3	4	96
1695	0	17	5	50	2	60
1696	1	10	1	2	4	96
1697	1	19	1	2	3	109
1698	1	7	4	25	3	77
1699	1	15	1	2	4	99
1700	1	8	5	27	2	51
1701	0	12	1	8	2	38
1702	1	9	5	36	2	64
1703	0	9	5	37	2	80
1704	0	5	13	110	0	0
1705	0	3	5	36	2	34
1706	0	4	1	5	3	127
1707	1	11	1	4	4	106
1708	1	8	2	22	3	97
1709	0	12	2	19	3	82
1710	1	9	3	30	3	60
1711	1	13	1	10	3	98
1712	1	5	4	28	2	84
1713	1	6	6	43	2	48
1714	1	9	2	23	3	71
1715	0	15	2	20	3	60
1716	1	15	1	6	4	100
1717	0	12	4	40	3	85
1718	0	6	6	46	2	61
1719	1	6	3	13	2	50
1720	0	10	1	3	4	119
1721	0	14	2	20	3	78
1722	0	12	3	23	3	75
1723	0	7	1	3	3	83
1724	0	8	4	35	2	70
1725	0	17	1	2	4	98
1726	0	3	3	11	3	64
1727	0	5	5	42	2	33
1728	1	7	2	12	3	92
1729	0	12	3	25	3	67
1730	0	4	3	14	3	76
1731	0	3	7	33	2	62
1732	0	7	1	10	3	110
1733	1	14	2	20	3	76
1734	0	8	13	107	0	0
1735	0	12	2	14	3	81
1736	1	14	5	30	2	62
1737	0	19	1	3	4	80
1738	1	11	3	8	3	88
1739	0	11	1	3	4	91
1740	0	13	3	18	2	59
1741	1	8	5	23	2	63
1742	1	14	6	55	2	70
1743	0	16	1	5	3	106
1744	1	12	1	10	3	113
1745	0	12	1	2	4	108
1746	1	10	1	2	4	126
1747	1	8	1	6	3	97
1748	0	16	1	5	3	122
1749	0	11	2	10	3	109
1750	1	4	13	102	0	0
1751	1	13	4	29	3	63
1752	0	9	3	24	3	68
1753	1	15	1	10	4	128
1754	0	15	13	53	0	0
1755	1	10	3	22	3	72
1756	0	5	7	59	2	39
1757	0	11	6	48	2	62
